44,0301546,Advanced Soil Mechanics,ปฐพีกลศาสตร?ขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
45,0301547,Special Study in Soil Mechanics Engineering,การศึกษาป?ญหาพิเศษทางวิศวกรรมกลศาสตร?ของดิน,3(3-0-6),3,1,3,0,6,,,2,2567
46,0301548,Physicochemical Principles in Environmental Engi,หลักเคมี-ฟ?สิกส?ในวิศวกรรมสิ่งแวดล?อม,3(3-0-6),3,1,3,0,6,,,2,2567
47,0301549,Advanced Water Treatment Processes,กระบวนการบําบัดน้ำขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
48,0301550,Advanced Wastewater Treatment Processes,กระบวนการบําบัดน้ำเสียขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
49,0301551,Remediation of Contaminated Groundwater and S,การแก?ไขฟ??นฟูน้ำใต?ดินและดินที่ปนเป??อนมลพิษ,3(3-0-6),3,1,3,0,6,,,2,2567
50,0301552,Air Pollution Control Methods,วิธีการควบคุมมลพิษทางอากาศ,3(3-0-6),3,1,3,0,6,,,2,2567
51,0301553,Indoor Air Quality Management,การจัดการคุณภาพอากาศภายในอาคาร,3(3-0-6),3,1,3,0,6,,,2,2567
52,0301554,Solid Waste and Hazardous Waste Management,การจัดการมูลฝอยและขยะอันตราย,3(3-0-6),3,1,3,0,6,,,2,2567
53,0301555,Advanced Study in Environmental Engineering,การศึกษาขั้นสูงในวิศวกรรมสิ่งแวดล?อม,3(3-0-6),3,1,3,0,6,,,2,2567
54,0301556,Urban Water Management,การบริหารจัดการน้ำในชุมชนเมือง,3(3-0-6),3,1,3,0,6,,,2,2567
55,0301557,Urban System Metabolism,เมแทบอลิซึมของระบบเมือง,3(3-0-6),3,1,3,0,6,,,2,2567
56,0301558,Environmental Economics,เศรษฐศาสตร?สิ่งแวดล?อม,3(3-0-6),3,1,3,0,6,,,2,2567
57,0301559,Public Health Engineering,วิศวกรรมสาธารณสุข,3(3-0-6),3,1,3,0,6,,,2,2567
58,0301560,Special Study in Environmental Engineering,การศึกษาป?ญหาพิเศษทางวิศวกรรมสิ่งแวดล?อม,3(3-0-6),3,1,3,0,6,,,2,2567
59,0301561,Advanced Hydrology,อุทกวิทยาขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
60,0301562,Advanced Hydraulic Engineering,วิศวกรรมชลศาสตร?ขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
61,0301563,Irrigation Sciences,วิทยาศาสตร?การชลประทาน,3(3-0-6),3,1,3,0,6,,,2,2567
62,0301564,Control of Floods and Droughts,การควบคุมภาวะน้ำท?วมและภาวะแห?งแล?ง,3(3-0-6),3,1,3,0,6,,,2,2567
63,0301565,Geographical Information System for Water Resou,ระบบสารสนเทศภูมิศาสตร?สําหรับวิศวกรรมแหล?งน้ำ,3(3-0-6),3,1,3,0,6,,,2,2567
64,0301566,Advanced Optimization for Water Management,การหาค?าเหมาะที่สุดขั้นสูงสําหรับจัดการน้ำ,3(3-0-6),3,1,3,0,6,,,2,2567
65,0301567,River Basin Water Resources Planning and Manag,การวางแผนและจัดการทรัพยากรน้ำระดับลุ?มน้ำ,3(3-0-6),3,1,3,0,6,,,2,2567
66,0301568,Groundwater and Seepage,น้ำใต?ดินและการซึมผ?าน,3(3-0-6),3,1,3,0,6,,,2,2567
67,0301569,River Engineering,วิศวกรรมแม?น้ำ,3(3-0-6),3,1,3,0,6,,,2,2567
68,0301570,Special Study in Water Resources Engineering,การศึกษาป?ญหาพิเศษทางวิศวกรรมแหล?งน้ำ,3(3-0-6),3,1,3,0,6,,,2,2567
69,0301571,Advanced Digital Photogrammetry,การทําแผนที่จากภาพถ?ายทางอากาศเชิงตัวเลขขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
70,0301572,Advanced Satellite Surveying,การสํารวจด?วยดาวเทียมขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
71,0301573,Advanced Remote Sensing,การรับร?ูจากระยะไกลขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
72,0301574,Advanced Adjustment Computation,การคํานวณปรับแก?ขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
73,0301575,Advanced Geodesy,ภูมิมาตรศาสตร?ขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
74,0301576,Advanced Geographic Information System,ระบบสารสนเทศทางภูมิศาสตร?ขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
75,0301577,Spatial Data Structure and Models,โครงสร?างและแบบจําลองข?อมูลปริภูมิ,3(3-0-6),3,1,3,0,6,,,2,2567
76,0301578,Spatial Data Handling and Analysis,การวิเคราะห?และการจัดการข?อมูลปริภูมิ,3(2-3-6),3,1,2,3,6,,,2,2567
77,0301579,Special Problems in Survey Engineering,ป?ญหาพิเศษทางวิศวกรรมสํารวจ,3(3-0-6),3,1,3,0,6,,,2,2567
78,0301580,Optimization Algorithm for Civil Engineering,อัลกอริทึมหาค?าที่เหมาะสมสําหรับวิศวกรรมโยธา,3(3-0-6),3,1,3,0,6,,,2,2567
79,0301582,Pozzolanic Materials,วัสดุปอซโซลาน,3(3-0-6),3,1,3,0,6,,,2,2567
80,0301583,Optimal Design for Structural Engineering by Artifi,การออกแบบที่เหมาะสมสําหรับวิศวกรรมโครงสร?างด?วย,3(3-0-6),3,1,3,0,6,,,2,2567
81,0301584,Microbial Fuel Cell Technology,เทคโนโลยีเซลล?เชื้อเพลิงจุลินทรีย?,3(3-0-6),3,1,3,0,6,,,2,2567
82,0301585,Formwork in Concrete Work,แบบหล?อในงานคอนกรีต,3(3-0-6),3,1,3,0,6,,,2,2567
83,0301586,Railway Engineering,วิศวกรรมรถไฟ,3(3-0-6),3,1,3,0,6,,,2,2567
84,0301587,Foundation Engineering for Railway Civil Engineeri,วิศวกรรมฐานรากสําหรับวิศวกรรมโยธาระบบราง,3(3-0-6),3,1,3,0,6,,,2,2567
85,0301588,Inspection and Safety for Railway Civil Engineers,การตรวจงานและความปลอดภัยสําหรับวิศวกรโยธาระ,3(3-0-6),3,1,3,0,6,,,2,2567
86,0301589,Track Alignment Design,การออกแบบเส?นทางราง,3(3-0-6),3,1,3,0,6,,,2,2567
87,0301590,Railway Bridge Technology,เทคโนโลยีสะพานรถไฟ,3(3-0-6),3,1,3,0,6,,,2,2567
88,0301591,Railway Track Analysis,การวิเคราะห?โครงสร?างทางรถไฟ,3(3-0-6),3,1,3,0,6,,,2,2567
89,0301592,Railway Geo-technology,ธรณีเทคนิคสําหรับงานรถไฟ,3(3-0-6),3,1,3,0,6,,,2,2567
90,0301593,Rail Planning and Operations Management,การวางแผนและการบริหารจัดการระบบราง,3(3-0-6),3,1,3,0,6,,,2,2567
91,0301594,GIS for Railway Civil Engineering,ระบบสารสนเทศภูมิศาสตร?สําหรับวิศวกรรมโยธาระบบ,3(3-0-6),3,1,3,0,6,,,2,2567
92,0301595,Rail Infrastructure,โครงสร?างพื้นฐานทางราง,3(3-0-6),3,1,3,0,6,,,2,2567
93,0301596,Railway Track Maintenance and Safety,การบํารุงรักษาและความปลอดภัยของรางรถไฟ,3(3-0-6),3,1,3,0,6,,,2,2567
94,0301597,Civil Engineering Project Economy,เศรษฐศาสตร?โครงการด?านวิศวกรรมโยธา,3(3-0-6),3,1,3,0,6,,,2,2567
95,0301598,Thesis,วิทยานิพนธ?,12(0-0-0),12,1,0,0,0,,,2,2567
96,0301599,Thesis,วิทยานิพนธ?,15(0-0-0),15,1,0,0,0,,,2,2567
97,0301600,Advanced Mechanics of Solids,กลศาสตร?ของแข็งขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
98,0301601,Structural Engineering Seminar,สัมมนาทางวิศวกรรมโครงสร?าง,1(0-3-3),1,1,0,3,3,,,2,2567
99,0301602,Advanced Design of Concrete Structures,การออกแบบโครงสร?างคอนกรีตขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
100,0301603,Advanced Prestressed Concrete,คอนกรีตอัดแรงขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
101,0301604,Theory of Plates and Shells,ทฤษฎีของแผ?นบางและเปลือกบาง,3(3-0-6),3,1,3,0,6,,,2,2567
102,0301605,Structural Stability,เสถียรภาพของโครงสร?าง,3(3-0-6),3,1,3,0,6,,,2,2567
103,0301606,Advanced Concrete Technology,เทคโนโลยีคอนกรีตขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
104,0301607,Structural Dynamics,พลศาสตร?โครงสร?าง,3(3-0-6),3,1,3,0,6,,,2,2567
105,0301608,Theory of Finite Element Analysis,ทฤษฎีการวิเคราะห?โดยวิธีการไฟไนต?เอเลเมนต?,3(3-0-6),3,1,3,0,6,,,2,2567
106,0301609,Energy Methods in Applied Machanics,วิธีการพลังงานในกลศาสตร?ประยุกต?,3(3-0-6),3,1,3,0,6,,,2,2567
107,0301610,Numerical Methods in Structural Mechanics,วิธีการเชิงตัวเลขในกลศาสตร?โครงสร?าง,3(3-0-6),3,1,3,0,6,,,2,2567
108,0301611,Advanced Structural System Design,การออกแบบระบบโครงสร?างขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
109,0301612,Advanced Steel Structures,โครงสร?างเหล็กขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
110,0301613,Advanced Structural Analysis,การวิเคราะห?โครงสร?างขั้นสูง,3(3-0-6),3,1,3,0,6,,,2,2567
111,0301631,Thesis,วิทยานิพนธ?,36(0-0-0),36,1,0,0,0,,,2,2567
112,0301632,Thesis,วิทยานิพนธ?,48(0-0-0),48,1,0,0,0,,,2,2567
